121605 | AZE | 2012 | Heavyweight, Men | Bronze
121606 | AZE | 2012 | Super-Heavyweight, Men | Bronze
65090 | BAR | 2000 | 100 metres, Men | Bronze
117135 | AZE | 2012 | Featherweight, Greco-Roman, Men | Silver
126970 | AZE | 2012 | Middleweight, Greco-Roman, Men | Bronze
121429 | AZE | 2012 | Lightweight, Freestyle, Men | Gold
121432 | AZE | 2012 | Light-Heavyweight, Freestyle, Men | Gold
117109 | AZE | 2012 | Heavyweight, Freestyle, Men | Bronze
116984 | AZE | 2012 | Flyweight, Freestyle, Women | Silver
121420 | AZE | 2012 | Lightweight, Freestyle, Women | Bronze
140928 | AZE | 2020 | Middleweight, Greco-Roman, Men | Bronze
132626 | AZE | 2020 | Welterweight, Freestyle, Men | Silver
132609 | AZE | 2016 | Light-Welterweight, Men | Silver
116984 | AZE | 2020 | Flyweight, Freestyle, Women | Bronze
132608 | AZE | 2016 | Middleweight, Men | Bronze
121978 | AZE | 2016 | Canadian Singles, 200 metres, Men | Silver
90273 | AZE | 2016 | Kayak Singles, 200 metres, Women | Bronze
126978 | AZE | 2016 | Lightweight, Men | Silver
121774 | AZE | 2016 | Half-Heavyweight, Men | Silver
132622 | AZE | 2016 | Welterweight, Men | Bronze
132623 | AZE | 2016 | Heavyweight, Men | Gold
129113 | AZE | 2016 | Flyweight, Women | Bronze
132627 | AZE | 2016 | Welterweight, Greco-Roman, Men | Bronze
132628 | AZE | 2016 | Super-Heavyweight, Greco-Roman, Men | Bronze
132626 | AZE | 2016 | Featherweight, Freestyle, Men | Bronze
121429 | AZE | 2016 | Welterweight, Freestyle, Men | Silver
121430 | AZE | 2016 | Middleweight, Freestyle, Men | Bronze
121432 | AZE | 2016 | Light-Heavyweight, Freestyle, Men | Bronze
117109 | AZE | 2016 | Heavyweight, Freestyle, Men | Silver
116984 | AZE | 2016 | Flyweight, Freestyle, Women | Silver
117004 | AZE | 2016 | Featherweight, Freestyle, Women | Bronze
57138 | ARM | 1996 | Flyweight, Greco-Roman, Men | Gold
57137 | ARM | 1996 | Light-Flyweight, Freestyle, Men | Silver
140915 | AZE | 2020 | Light-Heavyweight, Men | Bronze
121656 | AZE | 2020 | Heavyweight, Women | Bronze
140924 | AZE | 2020 | Kumite, ≤75 kg, Men | Silver
140906 | AZE | 2020 | Kumite, >61 kg, Women | Silver
94905 | ARM | 2000 | Middleweight, Men | Bronze
112962 | ARM | 2008 | Lightweight, Men | Bronze
116354 | ARM | 2008 | Middleweight, Men | Bronze
104584 | ARM | 2008 | Light-Heavyweight, Men | Silver
117136 | ARM | 2008 | Featherweight, Greco-Roman, Men | Bronze
117213 | ARM | 2008 | Super-Heavyweight, Greco-Roman, Men | Bronze
117182 | ARM | 2012 | Middleweight, Greco-Roman, Men | Silver
120952 | ARM | 2012 | Heavyweight, Greco-Roman, Men | Bronze
132441 | ARM | 2016 | Heavyweight, Men | Silver
132439 | ARM | 2016 | Super-Heavyweight, Men | Silver
132445 | ARM | 2016 | Welterweight, Greco-Roman, Men | Silver
120952 | ARM | 2016 | Heavyweight, Greco-Roman, Men | Gold
120896 | ARM | 2020 | Horse Vault, Men | Bronze
132432 | ARM | 2020 | Lightweight, Men | Bronze
132441 | ARM | 2020 | Heavyweight, Men | Silver
120952 | ARM | 2020 | Heavyweight, Greco-Roman, Men | Silver
65098 | BDI | 1996 | 5,000 metres, Men | Gold
115219 | BRN | 2012 | 1,500 metres, Women | Gold
120158 | BDI | 2016 | 800 metres, Women | Silver
129369 | BRN | 2016 | Marathon, Women | Silver
129374 | BRN | 2016 | 3,000 metres Steeplechase, Women | Gold
141289 | BRN | 2020 | 10,000 metres, Women | Silver
123538 | BOT | 2012 | 800 metres, Men | Silver
120888 | BOT | 2020 | 4 × 400 metres Relay, Men | Bronze
132744 | BOT | 2020 | 4 × 400 metres Relay, Men | Bronze
141109 | BOT | 2020 | 4 × 400 metres Relay, Men | Bronze
141107 | BOT | 2020 | 4 × 400 metres Relay, Men | Bronze
141108 | BOT | 2020 | 4 × 400 metres Relay, Men | Bronze
116209 | BER | 2020 | Olympic Distance, Women | Gold
117410 | AFG | 2008 | Flyweight, Men | Bronze
117410 | AFG | 2012 | Featherweight, Men | Bronze
57256 | AZE | 1996 | Flyweight, Freestyle, Men | Silver
90108 | AZE | 2000 | Middleweight, Men | Bronze
93007 | AZE | 2000 | Skeet, Women | Gold
57256 | AZE | 2000 | Bantamweight, Freestyle, Men | Gold
106167 | AZE | 2004 | Flyweight, Men | Bronze
90027 | AZE | 2004 | Bantamweight, Men | Bronze
41255 | AZE | 2004 | Sporting Pistol, 25 metres, Women | Bronze
93007 | AZE | 2004 | Skeet, Women | Bronze
107586 | AZE | 2004 | Welterweight, Greco-Roman, Men | Gold
106225 | AZE | 2008 | Featherweight, Men | Bronze
112690 | AZE | 2008 | Lightweight, Men | Gold
106750 | AZE | 2008 | Half-Heavyweight, Men | Bronze
117135 | AZE | 2008 | Featherweight, Greco-Roman, Men | Silver
117109 | AZE | 2008 | Heavyweight, Freestyle, Men | Bronze
116984 | AZE | 2008 | Flyweight, Freestyle, Women | Bronze
132998 | BUR | 2020 | Triple Jump, Men | Bronze
3293 | ALG | 1984 | Middleweight, Men | Bronze
3289 | ALG | 1984 | Light-Heavyweight, Men | Bronze
64274 | ALG | 1992 | 1,500 metres, Women | Gold
3292 | ALG | 1992 | Featherweight, Men | Bronze
64305 | ALG | 1996 | 1,500 metres, Men | Gold
3292 | ALG | 1996 | Lightweight, Men | Gold
7427 | ALG | 1996 | Middleweight, Men | Bronze
83225 | ALG | 2000 | 800 metres, Men | Bronze
83226 | ALG | 2000 | 5,000 metres, Men | Silver
83218 | ALG | 2000 | High Jump, Men | Bronze
64272 | ALG | 2000 | 1,500 metres, Women | Gold
7425 | ALG | 2000 | Light-Welterweight, Men | Bronze
106717 | ALG | 2008 | Middleweight, Men | Silver
106372 | ALG | 2008 | Half-Lightweight, Women | Bronze
122730 | ALG | 2012 | 1,500 metres, Men | Gold
122730 | ALG | 2016 | 800 metres, Men | Silver
122730 | ALG | 2016 | 1,500 metres, Men | Silver
29462 | BLR | 1996 | Individual All-Around, Men | Bronze
29462 | BLR | 1996 | Horse Vault, Men | Bronze
29462 | BLR | 1996 | Parallel Bars, Men | Bronze
29462 | BLR | 1996 | Horizontal Bar, Men | Bronze
65422 | BLR | 1996 | Discus Throw, Men | Silver
65427 | BLR | 1996 | Discus Throw, Men | Bronze
65418 | BLR | 1996 | Discus Throw, Women | Bronze
65414 | BLR | 1996 | Heptathlon, Women | Silver
35779 | BLR | 1996 | Single Sculls, Women | Gold
35780 | BLR | 1996 | Eights, Women | Bronze
35782 | BLR | 1996 | Eights, Women | Bronze
35786 | BLR | 1996 | Eights, Women | Bronze
35778 | BLR | 1996 | Eights, Women | Bronze
35784 | BLR | 1996 | Eights, Women | Bronze
35781 | BLR | 1996 | Eights, Women | Bronze
35785 | BLR | 1996 | Eights, Women | Bronze
35787 | BLR | 1996 | Eights, Women | Bronze
35783 | BLR | 1996 | Eights, Women | Bronze
41345 | BLR | 1996 | Free Pistol, 50 metres, Men | Silver
105560 | BLR | 2008 | Hammer Throw, Men | Silver
57354 | BLR | 1996 | Light-Flyweight, Greco-Roman, Men | Silver
83343 | BLR | 2008 | Hammer Throw, Men | Bronze
115381 | BLR | 2008 | Decathlon, Men | Silver
57359 | BLR | 1996 | Middleweight, Greco-Roman, Men | Bronze
57351 | BLR | 1996 | Heavyweight, Greco-Roman, Men | Silver
57353 | BLR | 1996 | Super-Heavyweight, Freestyle, Men | Silver
105236 | BLR | 2008 | Kayak Doubles, 500 metres, Men | Bronze
105239 | BLR | 2008 | Kayak Doubles, 500 metres, Men | Bronze
105236 | BLR | 2008 | Kayak Fours, 1,000 metres, Men | Gold
105237 | BLR | 2008 | Kayak Fours, 1,000 metres, Men | Gold
116586 | BLR | 2008 | Kayak Fours, 1,000 metres, Men | Gold
105239 | BLR | 2008 | Kayak Fours, 1,000 metres, Men | Gold
116528 | BLR | 2008 | Canadian Doubles, 1,000 metres, Men | Gold
105279 | BLR | 2008 | Canadian Doubles, 1,000 metres, Men | Gold
116445 | BLR | 2008 | Individual, Women | Bronze
107843 | BLR | 2008 | Individual, Women | Silver
116857 | BLR | 2008 | Group, Women | Bronze
116855 | BLR | 2008 | Group, Women | Bronze
116856 | BLR | 2008 | Group, Women | Bronze
107860 | BLR | 2008 | Group, Women | Bronze
116858 | BLR | 2008 | Group, Women | Bronze
116859 | BLR | 2008 | Group, Women | Bronze
35779 | BLR | 2008 | Single Sculls, Women | Bronze
88889 | BLR | 2008 | Coxless Pairs, Women | Bronze
88890 | BLR | 2008 | Coxless Pairs, Women | Bronze
116404 | BLR | 2008 | Heavyweight, Men | Gold
117162 | BLR | 2008 | Welterweight, Greco-Roman, Men | Bronze
108039 | BLR | 2008 | Middleweight, Freestyle, Men | Silver
66595 | CIV | 1984 | 400 metres, Men | Silver
105236 | BLR | 2012 | Kayak Doubles, 200 metres, Men | Silver
105239 | BLR | 2012 | Kayak Doubles, 200 metres, Men | Silver
116528 | BLR | 2012 | Canadian Doubles, 1,000 metres, Men | Silver
105279 | BLR | 2012 | Canadian Doubles, 1,000 metres, Men | Silver
121066 | BLR | 2012 | Kayak Fours, 500 metres, Women | Bronze
121065 | BLR | 2012 | Kayak Fours, 500 metres, Women | Bronze
121064 | BLR | 2012 | Kayak Fours, 500 metres, Women | Bronze
121063 | BLR | 2012 | Kayak Fours, 500 metres, Women | Bronze
133231 | CIV | 2016 | Welterweight, Men | Gold
120950 | CIV | 2016 | Welterweight, Women | Bronze
116842 | BLR | 2012 | Individual, Women | Bronze
120799 | BLR | 2012 | Group, Women | Silver
116856 | BLR | 2012 | Group, Women | Silver
120795 | BLR | 2012 | Group, Women | Silver
120802 | BLR | 2012 | Group, Women | Silver
116858 | BLR | 2012 | Group, Women | Silver
116859 | BLR | 2012 | Group, Women | Silver
41348 | BLR | 2012 | Small-Bore Rifle, Prone, 50 metres, Men | Gold
120950 | CIV | 2020 | Welterweight, Women | Bronze
116762 | BLR | 2012 | 50 metres Freestyle, Women | Silver
116762 | BLR | 2012 | 100 metres Freestyle, Women | Silver
117615 | BLR | 2012 | Singles, Women | Bronze
117615 | BLR | 2012 | Doubles, Mixed | Gold
94190 | BLR | 2012 | Doubles, Mixed | Gold
67022 | DJI | 1988 | Marathon, Men | Bronze
83343 | BLR | 2016 | Hammer Throw, Men | Silver
121067 | BLR | 2016 | Kayak Fours, 500 metres, Women | Bronze
121065 | BLR | 2016 | Kayak Fours, 500 metres, Women | Bronze
121064 | BLR | 2016 | Kayak Fours, 500 metres, Women | Bronze
121063 | BLR | 2016 | Kayak Fours, 500 metres, Women | Bronze
116762 | BLR | 2016 | 50 metres Freestyle, Women | Bronze
132729 | BLR | 2016 | Individual, Men | Gold
116389 | BLR | 2016 | Middle-Heavyweight, Men | Silver
129202 | BLR | 2016 | Heavyweight, Women | Silver
132737 | BLR | 2016 | Light-Heavyweight, Greco-Roman, Men | Bronze
132736 | BLR | 2016 | Super-Heavyweight, Freestyle, Men | Bronze
129204 | BLR | 2016 | Middleweight, Freestyle, Women | Silver
1321 | CMR | 1984 | Lightweight, Men | Bronze
65420 | BLR | 2000 | Hammer Throw, Men | Bronze
83334 | BLR | 2000 | Shot Put, Women | Gold
65418 | BLR | 2000 | Discus Throw, Women | Gold
65404 | BLR | 2000 | Discus Throw, Women | Bronze
46201 | CRC | 1988 | 200 metres Freestyle, Women | Silver
65414 | BLR | 2000 | Heptathlon, Women | Bronze
141075 | BLR | 2020 | High Jump, Men | Bronze
92232 | BLR | 2000 | Lightweight, Men | Bronze
46200 | CRC | 1996 | 200 metres Freestyle, Women | Gold
92463 | BLR | 2000 | Individual, Men | Bronze
46200 | CRC | 2000 | 200 metres Freestyle, Women | Bronze
46200 | CRC | 2000 | 400 metres Freestyle, Women | Bronze
91238 | BLR | 2000 | Individual, Women | Silver
91232 | BLR | 2000 | Group, Women | Silver
91233 | BLR | 2000 | Group, Women | Silver
91234 | BLR | 2000 | Group, Women | Silver
91235 | BLR | 2000 | Group, Women | Silver
91236 | BLR | 2000 | Group, Women | Silver
91237 | BLR | 2000 | Group, Women | Silver
121067 | BLR | 2020 | Kayak Fours, 500 metres, Women | Silver
35779 | BLR | 2000 | Single Sculls, Women | Gold
121065 | BLR | 2020 | Kayak Fours, 500 metres, Women | Silver
